Shelf Id,Event Id,Timestamp, 
2,1338,2017-08-21 11:52:31,shake recoreded 
2,1419,2017-08-21 14:54:46,shake recoreded 
2,1483,2017-08-21 16:55:05,shake recoreded 
2,1502,2017-08-21 17:37:40,shake recoreded 
2,1524,2017-08-21 18:32:23,shake recoreded 
0,2301,2017-08-22 20:28:12,shake recoreded 
0,2344,2017-08-22 21:49:49,shake recoreded 
0,2509,2017-08-23 03:14:52,shake recoreded 
0,2675,2017-08-23 08:53:37,shake recoreded 
1,2756,2017-08-23 11:48:49,shake recoreded 
2,2902,2017-08-23 17:04:56,shake recoreded 
0,3111,2017-08-24 00:17:55,shake recoreded 
0,3383,2017-08-24 10:06:25,shake recoreded 
2,3962,2017-08-25 05:25:34,shake recoreded 
2,3984,2017-08-25 06:21:33,shake recoreded 
1,4048,2017-08-25 09:00:49,shake recoreded 
0,4234,2017-08-25 15:06:12,shake recoreded 
2,4298,2017-08-25 17:22:31,shake recoreded 
0,4320,2017-08-25 18:06:52,shake recoreded 
1,4756,2017-08-26 08:58:31,shake recoreded 
2,5064,2017-08-26 19:51:34,shake recoreded 
0,5125,2017-08-26 22:00:09,shake recoreded 
1,5696,2017-08-27 17:48:43,shake recoreded 
1,5758,2017-08-27 20:04:23,shake recoreded 
0,6194,2017-08-28 09:37:05,shake recoreded 
2,6451,2017-08-28 17:41:48,shake recoreded 
1,6719,2017-08-29 02:42:38,shake recoreded 
1,6782,2017-08-29 04:58:01,shake recoreded 
0,6888,2017-08-29 08:33:00,shake recoreded 
2,6928,2017-08-29 10:04:15,shake recoreded 
2,7157,2017-08-29 17:45:40,shake recoreded 
